GET: Start: 2329163500, End: 2339501500, Latency: 10338000 µs
GET: Start: 2339559792, End: 2349793417, Latency: 10233625 µs
GET: Start: 2349843875, End: 2360101375, Latency: 10257500 µs
GET: Start: 2360143708, End: 2370426583, Latency: 10282875 µs
GET: Start: 2370468000, End: 2380795333, Latency: 10327333 µs
APPEND: Start: 2380846208, End: 2391084500, Latency: 10238292 µs
APPEND: Start: 2391132292, End: 2401393792, Latency: 10261500 µs
GET: Start: 2401435208, End: 2411749583, Latency: 10314375 µs
GET: Start: 2411804167, End: 2422155625, Latency: 10351458 µs
GET: Start: 2422230833, End: 2432556708, Latency: 10325875 µs
GET: Start: 2432624167, End: 2442989792, Latency: 10365625 µs
APPEND: Start: 2443032208, End: 2453313083, Latency: 10280875 µs
GET: Start: 2453348458, End: 2463588958, Latency: 10240500 µs
GET: Start: 2463621958, End: 2473816250, Latency: 10194292 µs
APPEND: Start: 2473858083, End: 2484083625, Latency: 10225542 µs
APPEND: Start: 2484142042, End: 2494459458, Latency: 10317416 µs
APPEND: Start: 2494495333, End: 2504802917, Latency: 10307584 µs
GET: Start: 2504837542, End: 2515043042, Latency: 10205500 µs
APPEND: Start: 2515094750, End: 2525354375, Latency: 10259625 µs
APPEND: Start: 2525404958, End: 2535851917, Latency: 10446959 µs
GET: Start: 2535907708, End: 2546240292, Latency: 10332584 µs
GET: Start: 2546285542, End: 2556555958, Latency: 10270416 µs
APPEND: Start: 2556618500, End: 2566961542, Latency: 10343042 µs
GET: Start: 2567020208, End: 2577369375, Latency: 10349167 µs
APPEND: Start: 2577435708, End: 2587775167, Latency: 10339459 µs
APPEND: Start: 2587833208, End: 2598189000, Latency: 10355792 µs
APPEND: Start: 2598262250, End: 2608661250, Latency: 10399000 µs
APPEND: Start: 2608742667, End: 2619152958, Latency: 10410291 µs
APPEND: Start: 2619211708, End: 2629508000, Latency: 10296292 µs
APPEND: Start: 2629569292, End: 2639909792, Latency: 10340500 µs
APPEND: Start: 2639984042, End: 2650332500, Latency: 10348458 µs
APPEND: Start: 2650402083, End: 2660912708, Latency: 10510625 µs
APPEND: Start: 2661009625, End: 2671492417, Latency: 10482792 µs
APPEND: Start: 2671575042, End: 2682027583, Latency: 10452541 µs
APPEND: Start: 2682084667, End: 2692462417, Latency: 10377750 µs
APPEND: Start: 2692510417, End: 2702783292, Latency: 10272875 µs
APPEND: Start: 2702843125, End: 2713195125, Latency: 10352000 µs
GET: Start: 2713250375, End: 2723574125, Latency: 10323750 µs
